Name;Code;E;N;Z
STA 3+50;A4;475978.4698;9699491.326;6.36
STA 3+50;T1;475978.7678;9699490.644;6.107
STA 3+50;D1;475979.1059;9699490.03;5.209
STA 3+50;D2;475979.6156;9699488.774;4.969
STA 3+50;D3;475980.1248;9699487.577;5.243
STA 3+50;T2;475980.4629;9699486.962;6.051
STA 3+50;B1;475980.6272;9699486.097;6.085
STA 3+50;B2;475980.5744;9699485.386;6.045
STA 3+50;B3;475980.7693;9699484.454;6.068
STA 3+50;B4;475980.6696;9699483.454;6.059
STA 3+50;B;475980.5004;9699482.524;6.081
STA 4+00;A;476028.4827;9699498.077;6.115
STA 4+00;A1;476028.3342;9699497.331;6.148
STA 4+00;A2;476028.5695;9699496.327;6.466
STA 4+00;A3;476028.4477;9699495.487;6.455
STA 4+00;A4;476028.3588;9699494.655;6.361
STA 4+00;T1;476028.6568;9699493.974;6.118
STA 4+00;D1;476028.9949;9699493.36;5.202
STA 4+00;D2;476029.5046;9699492.104;4.97
STA 4+00;D3;476030.0138;9699490.906;5.235
STA 4+00;T2;476030.3519;9699490.292;6.045
STA 4+00;B1;476030.5162;9699489.427;6.089
STA 4+00;B2;476030.4635;9699488.716;6.049
STA 4+00;B3;476030.6583;9699487.784;6.064
STA 4+00;B4;476030.5586;9699486.783;6.056
STA 4+00;B;476030.3895;9699485.854;6.075
STA 4+50;A;476078.3717;9699501.407;6.108
STA 4+50;A1;476078.2232;9699500.661;6.14
STA 4+50;A2;476078.4586;9699499.657;6.456
STA 4+50;A3;476078.3367;9699498.817;6.448
STA 4+50;A4;476078.2478;9699497.985;6.362
STA 4+50;T1;476078.5458;9699497.303;6.128
STA 4+50;D1;476078.8839;9699496.69;5.194
STA 4+50;D2;476079.3936;9699495.433;4.972
STA 4+50;D3;476079.9028;9699494.236;5.226
STA 4+50;T2;476080.2409;9699493.622;6.04
STA 4+50;B1;476080.4052;9699492.757;6.093
STA 4+50;B2;476080.3525;9699492.045;6.053
STA 4+50;B3;476080.5473;9699491.114;6.06
STA 4+50;B4;476080.4477;9699490.113;6.054
STA 4+50;B;476080.2785;9699489.184;6.069
STA 5+00;A;476128.2607;9699504.737;6.1
STA 5+00;A1;476128.1122;9699503.991;6.132
STA 5+00;A2;476128.3476;9699502.986;6.447
STA 5+00;A3;476128.2257;9699502.146;6.44
STA 5+00;A4;476128.1368;9699501.315;6.362
STA 5+00;T1;476128.4348;9699500.633;6.139
STA 5+00;D1;476128.773;9699500.019;5.187
STA 5+00;D2;476129.2826;9699498.763;4.974
STA 5+00;D3;476129.7918;9699497.566;5.217
STA 5+00;T2;476130.1299;9699496.951;6.034
STA 5+00;B1;476130.2943;9699496.086;6.097
STA 5+00;B2;476130.2415;9699495.375;6.056
STA 5+00;B3;476130.4363;9699494.443;6.057
STA 5+00;B4;476130.3367;9699493.443;6.051
STA 5+00;B;476130.1675;9699492.513;6.063
STA 5+50;A;476178.1497;9699508.066;6.093
STA 5+50;A1;476178.0012;9699507.32;6.123
STA 5+50;A2;476178.2366;9699506.316;6.438
STA 5+50;A3;476178.1147;9699505.476;6.433
STA 5+50;A4;476178.0258;9699504.644;6.363
STA 5+50;T1;476178.3239;9699503.962;6.149
STA 5+50;D1;476178.662;9699503.349;5.179
STA 5+50;D2;476179.1716;9699502.093;4.975
STA 5+50;D3;476179.6808;9699500.895;5.209
STA 5+50;T2;476180.0189;9699500.281;6.029
STA 5+50;B1;476180.1833;9699499.416;6.101
STA 5+50;B2;476180.1305;9699498.705;6.06
STA 5+50;B3;476180.3253;9699497.773;6.053
STA 5+50;B4;476180.2257;9699496.772;6.048
STA 5+50;B;476180.0565;9699495.843;6.057
STA 6+00;A;476228.0387;9699511.396;6.086
STA 6+00;A1;476227.8902;9699510.65;6.115
STA 6+00;A2;476228.1256;9699509.646;6.429
STA 6+00;A3;476228.0038;9699508.806;6.425
STA 6+00;A4;476227.9149;9699507.974;6.364
STA 6+00;T1;476228.2129;9699507.292;6.16
STA 6+00;D1;476228.551;9699506.679;5.172
STA 6+00;D2;476229.0606;9699505.422;4.977
STA 6+00;D3;476229.5698;9699504.225;5.2
STA 6+00;T2;476229.9079;9699503.61;6.023
STA 6+00;B1;476230.0723;9699502.746;6.105
STA 6+00;B2;476230.0195;9699502.034;6.064
STA 6+00;B3;476230.2143;9699501.103;6.049
STA 6+00;B4;476230.1147;9699500.102;6.046
STA 6+00;B;476229.9455;9699499.173;6.051
STA 6+50;A;476277.9278;9699514.726;6.078
STA 6+50;A1;476277.7792;9699513.979;6.107
STA 6+50;A2;476278.0146;9699512.975;6.42
STA 6+50;A3;476277.8928;9699512.135;6.418
STA 6+50;A4;476277.8039;9699511.304;6.364
STA 6+50;T1;476278.1019;9699510.622;6.171
STA 6+50;D1;476278.44;9699510.008;5.164
